Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2012;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2012;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;520838
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2013;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;531562
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2014;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2014;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;544479
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2015;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2015;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;560472
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2016;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2016;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;571088
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2017;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2017;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;581980
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2018;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2018;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;587857
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;KREISE;Kreise;14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;KREISE;Kreise;14713;Leipzig, kreisfreie Stadt;593145
